seller_id,title,price,location,address,status
689,THERABAND Resistance Bands 5 Foot 15 Count Professional Latex Elastic Fitness Bands for Upper & Lo,42.53,"(-2328565.2023871643, -3531560.5160641787, 4773561.715934145)",V8S,AVAILABLE
282,FIERYRED Trunk Mounted Bike Rack for Most Car SUV (Sedans/Minivans) 3-Bike Trunk Mount Bicycle Carri,27,"(-2323239.5000003288, -3536060.512424067, 4772825.296859029)",V8U,AVAILABLE
392,NBA New York Knicks All-Time Greats Plaque,39.11,"(-2328823.659349721, -3528778.7233965737, 4775492.448028854)",V8X,AVAILABLE
201,STROMBERGBRAND UMBRELLAS The Vented Tornado 64 Windproof Waterproof PGA Professional Quality Ultima,62,"(-2327050.882391823, -3536648.280044525, 4770532.482882969)",V8P,AVAILABLE
985,Powerchute's Baseball/Softball Air Resistance Training | Improve Swing's Power Speed Accuracy and,149.0,"(-2326190.928185109, -3535958.8583209296, 4771462.85263912)",V9A,AVAILABLE
515,Tempress 13 x 23 Access Slam Boat Hatch Storage Lid White,89.49,"(-2326813.2896563155, -3535992.970623992, 4771134.106583096)",V9A,AVAILABLE
550,Caribee Stratos XL Hydration Pack,155,"(-2328627.622767792, -3534107.2625588644, 4771646.077344328)",V8V,AVAILABLE
869,Baisidai Ships from CA US 5000Mah Portable USB Charger Pocket Electric Hand Warmer Rechargeable Hea,53,"(-2322075.5018167156, -3530907.9344495316, 4777204.3664185)",V8R,AVAILABLE
810,POC - Crane Pure Cycling Helmet for Commuting,136,"(-2322544.165461763, -3530501.271478811, 4777277.091376428)",V8W,AVAILABLE
410,Baseball Caps Hats with Five 3D Embroideries – Countries of Asia & Africa,9.97,"(-2320264.850077654, -3531779.7078270447, 4777439.707322244)",V9A,AVAILABLE
59,Oak-Pine Multi Jointed Fishing Lure Set - 7 Bait with Box / 4.33’’ Vivid Swimbaits Slow Sinking Hard,124,"(-2325854.111063731, -3529966.21080846, 4776062.001358704)",V8X,AVAILABLE
83,TITLE Boxing Viper Strike Bag Gloves,109,"(-2331489.860101265, -3533445.825706659, 4770738.16775404)",V8W,AVAILABLE
965,KingCamp Cotton Rectangle Sleeping Bag Liner Travel and Camping Sheet Soft and Compact for Indoor ,180,"(-2326328.288504871, -3537831.636501467, 4770007.446754706)",V8O,AVAILABLE
629,Pelican Storm iM2500 Case With Padded Divider Set,107,"(-2331355.706317079, -3533748.577320753, 4770579.482529387)",V8N,AVAILABLE
875,NFL Green Bay Packers Primary Receiver Adult Long Sleeved Basic Tee,195,"(-2332023.3033960685, -3530328.7737005255, 4772784.627261514)",V8Y,AVAILABLE
445,WinCraft NHL Tampa Bay Lightning Spirit Family Decal Sheet 8.5 x 11-inches  Blue,43,"(-2328376.406415384, -3526161.9150434993, 4777642.985319115)",V8V,AVAILABLE
521,Gogoku Bore Sight for 9mm Cartridge Hunting Red Laser Boresighter with 3 Sets of Batteries,125,"(-2327080.01496172, -3534784.7082153913, 4771899.27667762)",V9A,AVAILABLE
628,Difcuy Portable?Stainless Steel Single Wall Large Capacity Water Bottle Outdoor Supply - 1000ml，Bott,10.89,"(-2323843.583479682, -3530804.6879987344, 4776420.866187409)",V8Z,AVAILABLE
422,Kick Scooters for Kids Ages 3-5 (Suitable for 2-12 Year Old) Adjustable Height Foldable Scooter Remo,59.99,"(-2320930.2456539874, -3531438.523288162, 4777368.709579453)",V9A,AVAILABLE
