seller_id,title,price,location,address,status
1,Math 100 Textbook,50.00,"(1337484.3229889935, -4644543.450592562, 4161775.925916773)",V8X,AVAILABLE
1,Doohickey,100000.00,"(1337484.3229889935, -4644543.450592562, 4161775.925916773)",V8X,AVAILABLE
2,Laptop for sale,800.00,"(-2500738.4398669726, -4655331.5037668785, 3571445.489102601)",V8W,AVAILABLE
1,Listing near UVic 1,999.99,"(-2322437.5559816137, -3534371.7651268304, 4774466.154520775)",V8P,AVAILABLE
1,Listing near UVic 2,999.99,"(-2322437.2017884683, -3534371.8981569037, 4774466.228332935)",V8P,AVAILABLE
1,Listing near UVic 3,999.99,"(-2322437.8345780917, -3534371.382640087, 4774466.302145092)",V8P,AVAILABLE
1,Listing near UVic 4,999.99,"(-2322437.5420713914, -3534371.4751360067, 4774466.375957247)",V8P,AVAILABLE
1,Listing near UVic 5,999.99,"(-2322437.8484883285, -3534371.6726309094, 4774466.0807086155)",V8P,AVAILABLE
295,Wooden Mechanical Backpack,6592.00,"(-2331403.0897727315, -3533534.470916748, 4770714.916243189)",V8X,AVAILABLE
954,Fast Water Bottle,9475.00,"(-2327851.6750735724, -3530100.081411864, 4774989.741381347)",V8N,AVAILABLE
134,Lamp,1652.00,"(-2330175.260957193, -3529629.3389066462, 4774204.333643095)",V8X,AVAILABLE
853,Tablet,9837.00,"(-2329546.0146901216, -3536002.289460191, 4769793.5186544135)",V8Z,AVAILABLE
155,Sneakers,3010.00,"(-2331582.06092296, -3534527.942557762, 4769891.440345853)",V8R,AVAILABLE
716,Textbook,8733.00,"(-2329619.581102996, -3533295.0738385986, 4771763.360095866)",V8U,AVAILABLE
245,Portable Printer,7567.00,"(-2332705.292715855, -3533161.538196023, 4770354.5569036845)",V8Z,AVAILABLE
991,Pen,4628.00,"(-2325672.8868704694, -3528771.141379202, 4777033.272991607)",V8V,AVAILABLE
939,Laptop,1834.00,"(-2325500.835369701, -3528226.360066092, 4777519.403733867)",V9C,AVAILABLE
596,Wireless Camera,6863.00,"(-2329322.7909390717, -3536070.487902798, 4769851.9763634885)",V8X,AVAILABLE
436,Comfortable Camera,5560.00,"(-2332852.3105354966, -3532623.45809907, 4770681.150186142)",V9B,AVAILABLE
24,Black Camera,9432.00,"(-2322641.7042944226, -3532320.263303325, 4775884.850700761)",V8Z,AVAILABLE
490,White Water Bottle,6402.00,"(-2322898.930498203, -3535534.6615248844, 4773380.589484817)",V8U,AVAILABLE
511,Ballpoint Breathable Printer,1300.00,"(-2331539.494629516, -3534098.5292179636, 4770230.414454439)",V8O,AVAILABLE
647,Breathable Apple,9944.00,"(-2325388.9225378362, -3532032.7726357444, 4774760.505846275)",V9E,AVAILABLE
116,White Textbook,2116.00,"(-2323956.835598348, -3531791.2221101886, 4775636.337277487)",V8U,AVAILABLE
414,Ergonomic Monitor,2297.00,"(-2322465.729790213, -3534125.8050887003, 4774634.51627244)",V9C,AVAILABLE
595,Desk Chair,5416.00,"(-2325336.7727325927, -3533350.1983511825, 4773811.088157263)",V8T,AVAILABLE
192,Wooden Table,427.00,"(-2329989.3575798343, -3527547.254608436, 4775833.644118396)",V8T,AVAILABLE
423,Wireless Educational Table,1481.00,"(-2324125.3899079156, -3536138.9638553793, 4772335.846994968)",V9E,AVAILABLE
304,High-Resolution Headphones,5122.00,"(-2332723.2920444775, -3532814.918315852, 4770602.460057025)",V9C,AVAILABLE
930,Coffee Mug,4638.00,"(-2328160.520262544, -3534019.686310398, 4771938.860136977)",V8M,AVAILABLE
195,Water Bottle,3031.00,"(-2327769.0030245134, -3529249.171085588, 4775658.990461311)",V8W,AVAILABLE
773,Educational Mouse,319.00,"(-2326601.4846141934, -3536181.0592598566, 4771097.995655389)",V9A,AVAILABLE
